ID,FIRST_RELEVANT
57777,2
57775,4
57774,1
57773,1
57771,2
57770,1
57769,1
57768,-1
57767,2
57766,1
57765,7
57764,2
57763,1
57762,1
57761,3
57760,1
57759,1
57758,1
57757,1
57756,2
57755,1
57754,4
57753,3
57752,1
57751,1
57750,2
57749,5
57748,1
57747,1
57746,1
57745,1
57744,1
57743,1
57742,4
57741,1
57740,6
57739,1
57738,2
57736,4
57735,7
57734,2
57733,1
57732,3
57731,-1
57730,1
57729,1
57728,7
57727,2
57726,1
57725,2
57724,2
57723,1
57722,3
57721,1
57720,1
57719,1
57718,-1
57717,1
57716,1
57715,-1
57714,4
57713,2
57712,4
57711,1
57709,1
57708,4
57707,1
57706,2
57705,1
57704,5
57703,2
57702,2
57701,6
57700,8
57699,1
57697,-1
57696,1
57695,-1
57694,1
57693,1
57692,2
57691,1
57689,2
57688,2
57687,6
57686,4
57685,2
57684,-1
57682,2
57681,1
57680,3
57679,1
57678,1
57677,1
57676,-1
57675,1
57674,8
57673,1
57672,1
57671,8
57670,2
57669,7
57668,1
57667,3
57666,1
57665,1
57664,1
57660,1
57659,8
57658,1
57657,5
57656,2
57655,1
57654,7
57653,1
57652,2
57651,8
57650,1
57649,1
57648,5
57647,1
57646,2
57645,4
57644,1
57643,10
57642,1
57641,8
57640,3
57639,1
57637,1
57636,-1
57635,1
57634,2
57633,1
57632,2
57631,1
57630,2
57628,1
57627,6
57626,1
57625,1
57624,1
57623,2
57622,2
57621,-1
57620,2
57619,1
57618,2
57617,4
57616,1
57615,4
57614,-1
57613,1
57611,1
57610,3
57609,4
57608,1
57607,8
57606,1
57604,1
57603,-1
57602,1
57600,8
57599,2
57598,2
57597,7
57596,1
57595,1
57594,-1
57593,2
57592,-1
57591,-1
57590,1
57589,2
57587,-1
57586,7
57585,6
57584,2
57583,1
57582,-1
57581,1
57580,1
57579,-1
57578,6
57577,8
57576,1
57575,1
57574,3
57573,1
57572,-1
57571,1
57570,3
57569,2
57568,3
57567,1
57566,5
57565,1
57564,-1
57563,2
57562,1
57561,1
57560,5
57559,2
57558,1
57557,2
57556,3
57555,1
57554,3
57553,1
57552,3
57551,3
57550,1
57549,3
57548,1
57547,3
57546,3
57545,1
57544,1
57543,1
57542,1
57541,1
57540,1
57539,1
57537,1
57536,1
57535,1
57534,1
57533,1
57532,-1
57531,1
57530,1
57529,2
57528,3
57527,1
57526,6
57525,1
57523,2
57522,1
57521,4
57520,-1
57518,4
57517,2
57516,2
57515,2
57514,2
57513,1
57512,1
57511,3
57510,1
57509,3
57508,1
57507,-1
57506,5
57505,3
57504,1
57502,2
57501,10
57499,2
57498,1
57497,1
57496,1
57495,1
57494,3
57493,3
57492,1
57491,1
57489,3
57488,1
57487,-1
57486,2
57485,1
57484,1
57483,1
57482,1
57481,3
57480,3
57479,2
57478,1
57477,3
57476,1
57475,1
57474,2
57471,1
57470,2
57469,-1
57468,1
57467,1
57466,2
57463,2
57462,1
57461,5
57460,-1
57459,1
57458,1
57457,1
57456,-1
57455,3
57454,1
57453,1
57452,1
57451,2
57450,1
57449,1
57448,1
57447,5
57445,1
57444,2
57443,1
57442,7
57441,1
57440,6
57439,1
57438,2
57437,-1
57436,1
57435,2
57434,2
57433,1
57432,-1
57431,1
57430,2
57429,5
57428,3
57427,1
57425,1
57424,2
57423,8
57422,2
57421,1
57420,1
57419,2
57418,1
57417,4
57416,1
57415,1
57414,-1
57413,6
57412,1
57411,6
57410,2
57409,6
57408,1
57407,1
57406,2
57405,6
57404,3
57403,1
57402,2
57401,4
57400,1
57399,8
57398,1
57397,4
57396,1
57395,-1
57394,6
57393,1
57392,3
57391,-1
57390,1
57389,-1
57388,9
57387,3
57386,2
57385,2
57384,-1
57383,-1
57382,1
57381,1
57380,1
57379,1
57378,1
57377,1
57376,1
57375,1
57374,-1
57373,1
57372,3
57371,10
57370,9
57369,3
57368,-1
57367,1
57366,1
57365,3
57364,9
57363,4
57362,2
57361,-1
57360,1
57359,1
57358,2
57357,1
57355,6
57354,2
57353,1
57351,-1
57350,2
57349,2
57348,1
57347,1
57345,4
57344,1
57343,-1
57342,2
57341,1
57340,1
57339,8
57338,-1
57337,10
57336,1
57335,1
57334,4
57333,-1
57332,-1
57330,3
57329,2
57328,1
57327,3
57326,2
57325,1
57324,1
57323,1
57322,1
57321,3
57320,2
57319,1
57318,3
57317,1
57316,-1
57315,1
57314,-1
57313,9
57312,1
57311,1
57310,1
57309,1
57308,1
57307,1
57306,-1
57305,6
57304,2
57303,1
57301,-1
57300,1
57299,1
57298,1
57297,7
57296,4
57295,1
57294,1
57293,1
57292,-1
57291,2
57290,1
57289,1
57288,1
57287,-1
57286,3
57285,1
57284,5
57281,3
57279,3
57278,-1
57277,1
57276,2
57275,1
57274,1
57273,1
57271,1
57270,3
57269,2
57268,-1
57267,1
57266,3
57265,1
57264,-1
57263,1
57262,1
57261,5
57260,1
57259,2
57258,1
57257,1
57256,-1
57255,1
57253,-1
57252,1
57251,4
57250,5
57249,1
57248,3
57247,3
57246,3
57245,-1
57244,2
57243,1
57242,-1
57241,-1
57240,2
57239,-1
57238,2
57237,-1
57236,1
57235,-1
57234,1
57233,1
57232,-1
57231,3
57230,1
57228,3
57227,1
57226,1
57225,5
57224,3
57223,1
57222,5
57220,1
57219,1
57218,1
57217,1
57216,1
