ID,FIRST_RELEVANT
57777,2
57775,3
57774,2
57773,2
57771,1
57770,-1
57769,2
57768,1
57767,1
57766,3
57765,1
57764,1
57763,2
57762,2
57761,7
57760,1
57759,1
57758,2
57757,1
57756,2
57755,1
57754,2
57753,3
57752,2
57751,1
57750,1
57749,10
57748,1
57747,1
57746,1
57745,2
57744,1
57743,6
57742,1
57741,1
57740,1
57739,1
57738,1
57736,1
57735,4
57734,2
57733,1
57732,1
57731,-1
57730,4
57729,2
57728,1
57727,2
57726,1
57725,1
57724,1
57723,2
57722,5
57721,2
57720,4
57719,1
57718,5
57717,2
57716,2
57715,7
57714,-1
57713,-1
57712,1
57711,1
57709,1
57708,5
57707,-1
57706,2
57705,1
57704,1
57703,3
57702,1
57701,-1
57700,1
57699,2
57697,9
57696,1
57695,2
57694,2
57693,2
57692,1
57691,1
57689,1
57688,1
57687,1
57686,1
57685,5
57684,1
57682,1
57681,2
57680,1
57679,1
57678,5
57677,3
57676,3
57675,5
57674,4
57673,1
57672,1
57671,1
57670,2
57669,-1
57668,1
57667,1
57666,5
57665,1
57664,1
57660,2
57659,1
57658,1
57657,1
57656,1
57655,1
57654,5
57653,1
57652,3
57651,1
57650,3
57649,1
57648,3
57647,2
57646,5
57645,2
57644,1
57643,4
57642,-1
57641,8
57640,1
57639,2
57637,1
57636,1
57635,1
57634,3
57633,1
57632,1
57631,1
57630,2
57628,4
57627,7
57626,1
57625,2
57624,1
57623,2
57622,5
57621,1
57620,1
57619,1
57618,1
57617,1
57616,1
57615,1
57614,3
57613,1
57611,4
57610,3
57609,-1
57608,8
57607,1
57606,1
57604,1
57603,2
57602,2
57600,1
57599,-1
57598,1
57597,1
57596,1
57595,2
57594,1
57593,1
57592,5
57591,2
57590,3
57589,2
57587,1
57586,1
57585,4
57584,1
57583,2
57582,1
57581,1
57580,1
57579,2
57578,3
57577,-1
57576,3
57575,1
57574,1
57573,-1
57572,-1
57571,1
57570,1
57569,1
57568,1
57567,1
57566,2
57565,1
57564,-1
57563,2
57562,-1
57561,1
57560,2
57559,1
57558,1
57557,2
57556,2
57555,3
57554,1
57553,2
57552,2
57551,1
57550,1
57549,2
57548,-1
57547,2
57546,1
57545,2
57544,-1
57543,2
57542,2
57541,1
57540,2
57539,1
57537,1
57536,1
57535,1
57534,-1
57533,3
57532,1
57531,1
57530,1
57529,2
57528,2
57527,1
57526,1
57525,3
57523,1
57522,2
57521,3
57520,-1
57518,1
57517,1
57516,1
57515,1
57514,1
57513,2
57512,2
57511,1
57510,1
57509,2
57508,3
57507,2
57506,-1
57505,6
57504,1
57502,1
57501,1
57499,1
57498,1
57497,7
57496,2
57495,1
57494,4
57493,1
57492,2
57491,1
57489,1
57488,2
57487,-1
57486,1
57485,1
57484,1
57483,1
57482,1
57481,1
57480,1
57479,1
57478,1
57477,1
57476,3
57475,1
57474,1
57471,2
57470,1
57469,1
57468,-1
57467,1
57466,1
57463,-1
57462,2
57461,-1
57460,4
57459,2
57458,4
57457,2
57456,1
57455,2
57454,-1
57453,2
57452,1
57451,2
57450,1
57449,1
57448,1
57447,-1
57445,-1
57444,3
57443,2
57442,1
57441,2
57440,2
57439,2
57438,4
57437,2
57436,2
57435,1
57434,1
57433,2
57432,10
57431,2
57430,2
57429,-1
57428,-1
57427,1
57425,1
57424,1
57423,1
57422,1
57421,2
57420,2
57419,1
57418,-1
57417,7
57416,2
57415,2
57414,2
57413,2
57412,1
57411,1
57410,3
57409,1
57408,1
57407,3
57406,3
57405,1
57404,1
57403,4
57402,-1
57401,2
57400,1
57399,2
57398,1
57397,1
57396,8
57395,-1
57394,4
57393,2
57392,6
57391,-1
57390,1
57389,5
57388,1
57387,6
57386,1
57385,2
57384,7
57383,-1
57382,-1
57381,1
57380,1
57379,8
57378,1
57377,1
57376,1
57375,1
57374,7
57373,10
57372,2
57371,-1
57370,1
57369,2
57368,2
57367,1
57366,1
57365,2
57364,3
57363,1
57362,3
57361,3
57360,1
57359,2
57358,1
57357,2
57355,2
57354,-1
57353,1
57351,7
57350,2
57349,4
57348,2
57347,1
57345,-1
57344,1
57343,5
57342,1
57341,1
57340,1
57339,2
57338,2
57337,5
57336,1
57335,1
57334,1
57333,8
57332,6
57330,1
57329,1
57328,1
57327,1
57326,2
57325,2
57324,1
57323,-1
57322,2
57321,1
57320,1
57319,8
57318,1
57317,1
57316,-1
57315,1
57314,1
57313,-1
57312,2
57311,1
57310,1
57309,1
57308,1
57307,1
57306,1
57305,1
57304,2
57303,2
57301,1
57300,1
57299,2
57298,2
57297,3
57296,1
57295,1
57294,1
57293,1
57292,-1
57291,2
57290,1
57289,1
57288,1
57287,4
57286,3
57285,2
57284,10
57281,3
57279,5
57278,-1
57277,1
57276,1
57275,-1
57274,1
57273,1
57271,1
57270,1
57269,1
57268,2
57267,1
57266,1
57265,1
57264,1
57263,1
57262,2
57261,1
57260,1
57259,1
57258,1
57257,1
57256,-1
57255,4
57253,3
57252,2
57251,1
57250,2
57249,2
57248,7
57247,4
57246,1
57245,1
57244,2
57243,2
57242,-1
57241,-1
57240,1
57239,-1
57238,-1
57237,2
57236,2
57235,9
57234,-1
57233,1
57232,-1
57231,1
57230,1
57228,-1
57227,8
57226,1
57225,2
57224,1
57223,1
57222,5
57220,2
57219,2
57218,1
57217,4
57216,1
57213,1
57212,-1
57211,1
57210,1
57209,1
57208,2
57207,2
57205,2
57204,1
57203,2
57202,1
57201,1
57200,2
57199,1
57198,1
57197,1
57196,2
57195,1
57194,2
57193,1
57192,1
57191,1
57190,1
57189,1
57188,2
57187,1
57186,1
57185,1
57184,2
57183,2
57182,-1
57181,1
57180,3
57179,4
57178,1
57177,1
57176,1
57175,3
57174,1
57173,1
57171,1
57170,4
57169,-1
57168,1
57167,3
57166,4
57165,1
57164,2
57163,2
57162,-1
57161,1
57160,3
57159,1
57158,4
57157,1
57156,1
57155,1
57154,1
57153,1
57152,2
57151,-1
57150,2
57149,2
57148,2
57147,1
57146,1
57145,1
57144,1
57142,2
57141,2
57140,1
57139,1
57138,1
57137,-1
57136,10
57135,2
